,token,name,symbol
9574,99919000,SENSEX,SENSEX
9575,99919001,S&P BSE PSU,BSEPSU
9576,99919002,S&P BSE 100,BSE100
9577,99919003,S&P BSE 200,BSE200
9578,99919004,S&P BSE 500,BSE500
9579,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9580,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9581,99919007,S&P BSE CAPITAL GOODS,BSE CG
9582,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9583,99919009,S&P BSE HEALTHCARE,BSE HC
9584,99919011,S&P BSE TECK,TECK
9585,99919012,BANKEX,BANKEX
9586,99919013,S&P BSE AUTO,AUTO
9587,99919014,S&P BSE METAL,METAL
9588,99919015,S&P BSE CPSE,CPSE
9589,99919016,S&P BSE MIDCAP,MIDCAP
9590,99919017,S&P BSE SMALLCAP,SMLCAP
9591,99919018,S&P BSE DOLLEX 30,DOL30
9592,99919019,S&P BSE DOLLEX 100,DOL100
9593,99919020,S&P BSE DOLLEX 200,DOL200
9594,99919042,S&P BSE LARGECAP,LRGCAP
9595,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9596,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9597,99919051,S&P BSE OIL & GAS,OILGAS
9598,99919052,S&P BSE POWER,POWER
9599,99919053,S&P BSE REALTY,REALTY
9600,99919054,S&P BSE IPO,BSEIPO
9601,99919058,S&P BSE CARBONEX,CARBON
9602,99919059,S&P BSE SME IPO,SMEIPO
9603,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9604,99919081,S&P BSE GREENEX,GREENX
9605,99919082,S&P BSE SENSEX 50,SNSX50
9606,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9607,99919084,S&P BSE ENERGY,ENERGY
9608,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9609,99919086,S&P BSE INDUSTRIALS,INDSTR
9610,99919087,S&P BSE TELECOM,TELCOM
9611,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9612,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9613,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9614,500012,ANDHRAPET,ANDHRAPET
9615,500014,UTIQUE,UTIQUE
9616,500033,FORCEMOT,FORCEMOT
9617,500060,BIRLACABLE,BIRLACABLE
9618,500003,AEGISLOG,AEGISLOG
9619,500027,ATUL,ATUL
9620,500028,ATVPR,ATVPR
9621,500042,BASF,BASF
9622,500013,ANSALAPI,ANSALAPI
9623,500016,ARUNAHTEL,ARUNAHTEL
9624,500089,DICIND,DICIND
9625,500101,ARVIND,ARVIND
9626,500032,BAJAJHIND,BAJAJHIND
9627,500038,BALRAMCHIN,BALRAMCHIN
9628,500040,ABREL,ABREL
9629,500058,BIHSPONG,BIHSPONG
9630,500108,MTNL,MTNL
9631,500133,ESABINDIA,ESABINDIA
9632,500150,FOSECOIND,FOSECOIND
9633,500163,GODFRYPHLP,GODFRYPHLP
9634,500074,BPL,BPL
9635,500086,EXIDEIND,EXIDEIND
9636,500112,SBIN,SBIN
9637,500128,ELECTCAST,ELECTCAST
9638,500182,HEROMOTOCO,HEROMOTOCO
9639,500193,HLVLTD,HLVLTD
9640,500207,INDORAMA,INDORAMA
9641,500209,INFY,INFY
9642,500153,GANESHBE,GANESHBE
9643,500174,GLFL,GLFL
9644,500185,HCC,HCC
9645,500201,INDIAGLYCO,INDIAGLYCO
9646,500219,JISLJALEQS,JISLJALEQS
9647,500265,MAHSEAMLES,MAHSEAMLES
9648,500279,MIRCELECTR,MIRCELECTR
9649,500288,MOREPENLAB,MOREPENLAB
9650,500043,BATAINDIA,BATAINDIA
9651,500068,DISAQ,DISAQ
9652,500084,CESC,CESC
